"","filter","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-AZA_1_Run24.mzML","2024_NEG_CC-AZA_2_Run39.mzML","2024_NEG_CC-AZA_3_Run71.mzML"
"35/328.9796mz/2.13min",1477355.65,1595063.4,1454756.1,1189924.5,1499955.2,1310277,1513403.1
"36/312.9847mz/2.35min",495778.295,218778.83,561715.5,418454.12,580004.7,553584.25,437972.34
"37/312.9847mz/2.45min",652339.55,634447.7,670231.4,611823.4,753471.06,704221.75,598033.9
"38/373.0055mz/2.71min",2094759.2,2257010.2,2072115.2,2000419.6,2261907.5,2117403.2,2038214.5
"39/370.9898mz/2.8min",825931.25,919898,805295.6,803970.94,883595.7,822651.94,829210.56
"40/265.0176mz/2.84min",1796495.9,1947526.1,1788778.2,1767804.5,1898654.8,1804213.6,1756093.1
"41/397.0055mz/3.14min",285230.295,328452.97,283622.03,286838.56,308673.44,277513.25,267538.84
"42/265.0176mz/3.18min",3302753.65,3461896,3243903.8,3214153.5,3506202,3361603.5,3229426.2
"43/212.0353mz/3.3min",3584895.8,2627980,3421620.8,8122291.5,2624181,4276375,3748170.8
"44/421.0056mz/3.31min",91371.57,92237.8,91984.9,75894.35,98081.66,70437.49,90758.24
"45/421.0056mz/3.41min",2979175.4,3235767.2,2830852,2806243.8,3007057,3124854.5,2951293.8
"46/249.0227mz/3.49min",5935484.25,6057187,5698965,5614002,7138089,6511280.5,5813781.5
"48/582.981mz/3.54min",705302.9,787449.2,682728.9,655657,768116.5,724830.4,685775.4
"51/560.999mz/3.54min",3863503.7,4224123,3811020.2,3745378.5,4338360.5,3915987.2,3742111.2
"52/213.0386mz/3.54min",2139329.35,2748449.2,2243994.8,1611549.4,2016352.9,2072192.2,2206466.5
"53/212.0353mz/3.54min",19621629,21804692,17830688,13307568,21412570,23904922,17555554
"55/405.0107mz/3.62min",18442946,18889106,17732686,17837680,19822306,18434394,18451498
"56/407.0044mz/3.62min",1261658.65,1335789.1,1193888.5,1229078,1322946.8,1281137.4,1242179.9
"57/811.0292mz/3.62min",347263.5,370601.94,313384.12,323123.25,354744.1,347358.1,347168.9
"58/406.0138mz/3.62min",3476307,3620992.2,3264432.2,3651887.2,3475198.2,3389216,3477415.8
"60/421.0056mz/3.86min",496632.985,512986.97,480279,452269.94,611304.6,443327.6,540589.8
"61/309.1014mz/4.02min",426113.685,441297.62,404056.2,392178.34,455709.44,418910.75,433316.62
"62/605.0258mz/4.07min",726439.5,890392.4,653391.7,738648.9,923490.8,714230.1,670156
"64/421.1867mz/4.15min",1030234.85,1159734.9,804098.2,977752.5,1082717.2,1119469.9,827446.75
"65/603.01mz/4.18min",331118.33,387478.75,308302.4,342897.6,374486.5,319339.06,311549.4
"66/447.0213mz/4.21min",335605.07,339719.78,316512.9,332371.66,354109.1,333403.84,337806.3
"67/263.0383mz/4.27min",335554.27,347975.78,334334.7,330672.06,334074.97,338962.12,336773.84
"69/282.9837mz/4.4min",373031.03,397801,375756.44,353557.5,380487.2,370305.62,343759.22
"70/242.1762mz/4.43min",493864.36,504428.47,480038.28,483300.25,522375.4,511507.38,454237.94
"71/497.0371mz/4.44min",963997.25,1045720.06,917589.7,1010404.8,1068284.2,904235.6,874969.2
"74/793.0186mz/4.49min",649688.88,598263.5,643447.2,961622.25,655930.56,600085.1,838664.9
"76/341.0486mz/4.56min",732803.17,816816.8,701846.44,743425.94,792894,722180.4,670896.1
"77/404.0444mz/4.56min",441119.42,483724.84,442972.72,416306.72,455719.66,424463.94,439266.12
"78/422.9768mz/4.56min",762536.9,861216.7,751914.5,766555.3,806322.4,758518.5,734784.56
"81/653.0255mz/4.57min",619888.4,551684.56,624998.6,842026.56,614778.2,588190.8,735203.1
"82/497.0371mz/4.67min",1436393.4,1315325.6,1395156,1874843,1477630.8,1380441.1,1577413.2
"83/227.9666mz/4.74min",5948432,6061078,5891523,5632661,6005341,5813231.5,6017943.5
"84/229.9645mz/4.74min",5815452.75,6014812,5972596,5573851,5848943,5722285,5781962.5
"85/228.9699mz/4.74min",470861.1,494201.06,455355.97,457055.28,475169.6,481393.84,466552.6
"86/230.9678mz/4.74min",472562.75,476722.94,474965.25,443309.94,483858.34,453921.75,470160.25
"87/266.9888mz/4.76min",1548127.25,1691425.6,1532154,1368003.4,1564100.5,1564325.8,1433375.8
"88/268.9857mz/4.76min",502509.37,568111.9,515641.25,455835,503915.84,501102.9,468511.84
"90/637.0305mz/4.78min",4123185.25,4013649.8,4042159.5,5572367.5,3994443,4204211,4852025
"91/639.0284mz/4.78min",610962.87,570079.25,626447.44,828259.56,562140.9,595478.3,715325.06
"92/481.0421mz/4.92min",4149863.25,3987698.8,4070791.8,5142831,4208500,4091226.5,4373730.5
"93/544.0379mz/4.92min",1720993.55,1574437.8,1655809.9,2149699.5,1786177.2,1654113.5,1909511.9
"94/426.9678mz/4.97min",8801399,10754062,10561936,9637257,6838806,7325502,7965541
"95/428.9624mz/4.97min",334104.01,403793.75,396905.7,366830.4,255801.28,277538.94,301377.62
"96/396.2154mz/4.99min",757911.37,909457.56,536284.44,775604.8,740217.94,860017.2,536196.6
"97/397.219mz/4.99min",130285.64,152305.28,94906.47,131348.61,129222.67,154899.89,87854.71
"98/484.2681mz/5.03min",1244803.95,1311657.5,797769.3,1249536.9,1248343,1241264.9,899877.25
"99/501.2582mz/5.03min",249776.565,270422,156216.22,254273.72,246983.97,252569.16,188552.06
"100/653.0254mz/5.04min",61272.067,54784.625,58481.97,78698.12,65015.004,55230.35,64062.164
"101/396.2154mz/5.1min",2583566.2,2768363.8,1713910.9,2769893.5,2503025.2,2664107.2,2022226.1
"102/397.2189mz/5.1min",477647.36,515677.44,307468.3,516834.34,467414.12,487880.6,378384.84
"103/424.2468mz/5.15min",117068.075,162407.5,75855.96,57278.75,136443.75,140379.11,97692.4
"104/484.2681mz/5.14min",3577426.6,3616339.8,2537889,3780737.5,3554549.2,3600304,3098252.2
"105/501.2583mz/5.14min",677983.22,690669.44,487320.1,743505.94,692787.9,665297,583268.75
"106/424.2468mz/5.21min",164257.715,174595,83637.05,161953.9,166561.53,167982.31,105727.13
"107/779.3652mz/5.29min",594112.4,772023.94,432716.03,565327.4,622897.4,661350.3,414837.5
"108/187.8609mz/5.33min",113405.835,111107.55,47199.15,212259.11,115704.12,78145.79,165115.81
"109/424.2468mz/5.56min",712367.83,804076.6,500993,756293.56,677006.1,747729.56,550030.4
"110/512.2994mz/5.6min",113396.988,128773.26,76161.95,122300.74,109805.46,116988.516,96392.56
"111/705.3284mz/5.63min",344641.75,489167.97,264946.7,327699.4,361584.1,369602.12,259014.66
"112/424.2469mz/5.66min",2893162.65,3059949.2,2058347.2,3118588.8,2755784.8,3030540.5,2297666.8
"113/187.861mz/5.7min",46819.04,46819.04,46819.04,46819.04,46819.04,46819.04,234095.2
"114/214.8799mz/5.67min",60669.298,29718.564,59253.156,62085.44,46066.035,160118.14,1096270.8
"115/241.8989mz/5.71min",185293.69,27388.023,312662.28,58162.074,86545.78,284041.6,2123651.5
"116/512.2994mz/5.71min",502022.725,519598.2,375007.28,535724.9,484447.25,531685.44,461895.1
"118/315.2541mz/5.8min",107109.265,116824.41,66822.36,104149.8,110068.73,113872.086,73704.15
"119/562.0038mz/5.83min",58067.8925,59231.617,56904.168,71395.22,62455.63,50305.94,54740.78
"120/195.906mz/6.01min",39770.532,39770.532,198852.66,39770.532,39770.532,39770.532,39770.532
"121/214.8799mz/5.97min",69450.8275,16127.288,777054.6,216166.8,34254.535,104647.12,18351.092
"122/241.8989mz/5.97min",324523.85,262851.7,1409367,287083.3,166189.6,361964.4,383250.94
"123/187.8609mz/6.02min",34527.324,34527.324,172636.62,34527.324,34527.324,34527.324,34527.324
"124/315.2542mz/6.02min",106637.5625,115011.51,74739.94,107926.07,109997.96,105349.055,78217.82
"125/265.1479mz/6.02min",354453.075,580032,215177.77,434567.06,374269.12,267299.5,334637.03
"126/271.2279mz/6.06min",266386.515,326082.88,179300.84,254945.56,277827.47,279240.7,184062.06
"127/452.2782mz/6.13min",842040.85,930154.94,628842.3,912900.4,804992.2,879089.5,693850.94
"128/315.2541mz/6.14min",352808.53,427414.44,236347.86,343795.9,373300.53,361821.16,236993.67
"129/540.3308mz/6.19min",132710.6,141203.97,98026.41,145578.94,126961.33,137045.12,128376.08
"130/452.2782mz/6.24min",4715570.5,5552533.5,3698379.8,5394294,4650945.5,4780195.5,4007478.8
"131/540.3309mz/6.3min",919004.65,962392.06,768470.1,1034304.5,894589.44,928539.4,909469.9
"132/478.2939mz/6.3min",2587094.75,3028820.2,1575212,2638266,2605057.5,2569132,1673460.9
"133/480.299mz/6.3min",85443.52,110371.08,53516.062,92865.33,89133.51,81753.53,56553.15
"134/566.3465mz/6.37min",349881.325,405563.7,244704.3,382524.7,338637.4,361125.25,262649.22
"136/271.2279mz/6.39min",252654.125,311101.3,202246.3,241514.03,263794.22,264274.88,184839.61
"137/480.2991mz/6.41min",356808.72,410062.38,241661.5,375621.4,351394.16,362223.28,241417.25
"138/957.5953mz/6.41min",388143.795,480843.44,162516.58,467697.62,386971.12,389316.47,192066.78
"139/478.2939mz/6.41min",9671651,11101540,6233555,10607851,9797800,9545502,6556251.5
"141/566.3466mz/6.47min",1745731.5,2011159.4,1302038.1,2015869.9,1762473,1728990,1476509.4
"142/297.2436mz/6.48min",145301.96,184996.92,104478.22,140608.97,160622.97,149994.95,93903.914
"143/573.1294mz/6.5min",338511.815,354637.03,294492.62,291222.03,416032.44,457567.53,322386.6
"144/590.1196mz/6.5min",572565.9,698235.94,581986.1,543353.6,633792.94,544033.5,563145.7
"145/311.1687mz/6.53min",1021651.18,1737269.8,996377.56,1040250.3,1003052.06,995405.9,1255999
"146/506.3252mz/6.56min",77906.6025,93383.7,42075.996,93380.98,76195.9,79617.305,45665.566
"147/297.2436mz/6.61min",571141.655,705437.75,385062.38,588924.56,600157.56,553358.75,363034.72
"148/654.1321mz/6.62min",451208.1,581853.06,503467.03,456634.3,445781.9,378528.22,432421.28
"149/634.4456mz/6.64min",790796.55,255797.17,1579137,377268.1,1815813.8,299312.25,1204325
"150/637.1419mz/6.63min",674941.87,742697.44,601160.5,607186.3,797234.25,774752.94,590108.2
"151/311.1687mz/6.64min",771345.78,1119345.5,769201.5,845185.9,738139,632229.8,773490.06
"152/132.8679mz/6.67min",388984.52,363324.84,184999.98,414644.2,416818.6,1816332.5,52995.402
"153/299.2592mz/6.68min",2718200.3,3388781.8,2094375.1,2726822.8,2709577.8,2937125,1817782.5
"154/300.2626mz/6.68min",524506.905,635136.06,394256.47,537180.06,511833.75,565846.94,345632.2
"155/573.1294mz/6.68min",816027.82,941699.8,713468.5,713067.56,999823.8,908600.44,723455.2
"156/520.3045mz/6.68min",419398.235,619270.9,116308.875,434940.44,596144.56,403856.03,169387.97
"157/295.2279mz/6.77min",602393.87,635072.9,420324.03,733403.8,573447.8,631339.94,549700.3
"158/635.4489mz/6.7min",254861.955,207156.69,481375.47,798919.9,72189.266,67025.03,302567.22
"159/297.2436mz/6.7min",380461.8,512959.03,280110.88,388409.72,372513.88,400498,239790.31
"160/480.3096mz/6.71min",207411,286617.2,170661.86,255503.1,207903.94,206918.06,162691.2
"161/701.1544mz/6.71min",466260.19,494174.22,379687,414025.75,570918.6,548506.75,438346.16
"162/481.313mz/6.71min",50021.9615,64564.203,29706.723,54680.31,49461.15,50582.773,34018.684
"163/718.1445mz/6.72min",412424.095,480480.12,511589.5,432678.16,392170.03,325719.12,384453.56
"166/634.4456mz/6.76min",448609.25,1081319,495835.03,2177745.5,339874.7,317097.44,401383.47
"167/654.1321mz/6.8min",1683695.5,2064544.8,1920280.2,1705146.6,1662244.4,1465738.9,1524926.2
"168/782.157mz/6.8min",357771.49,445723.06,453937.53,381696.1,333846.88,288800.28,328244.2
"169/765.1669mz/6.81min",195081.225,172986.48,148000.11,137694.28,291701.75,300111.75,217175.97
"170/750.5292mz/6.86min",1126736.55,2392.9364,244098.2,11964.682,2054338.6,5096060.5,2009374.9
"171/481.3129mz/6.82min",327323.815,435096.6,273035.9,376125.8,318283.47,336364.16,282142.75
"172/480.3096mz/6.83min",1335301.45,1841383.1,1111156,1604569,1302035.5,1368567.4,1130350.5
"173/297.2436mz/6.83min",48115.2285,64958.69,36413.973,48204.07,57152.348,48026.387,30483.068
"174/565.2874mz/6.82min",41139.975,63614.79,40421.87,62948.715,37770.723,41858.08,34845.215
"175/637.1419mz/6.83min",1165062.2,1089877.2,879505.8,864786.06,1689902.8,1637538.9,1240247.2
"176/506.3253mz/6.84min",56001.1925,73450.65,29290.664,67937.4,55308.105,56694.28,34142.598
"177/690.5081mz/6.84min",190252.405,28916.678,144583.39,28916.678,989899.06,235921.42,4673450
"178/846.1694mz/6.89min",199337.63,264970.97,259154.84,210270.86,183964.64,133690.86,188404.4
"179/299.2592mz/6.9min",1152028.8,1381080.1,789359.4,1129585.2,1174472.4,1204776.1,733682.94
"180/718.1446mz/6.91min",1664897.4,2079944.8,1988720.1,1797253.2,1532541.6,1329127.4,1513584.5
"181/634.4456mz/6.86min",261865.87,2215181,367107.66,741169.1,137283.94,132416.44,156624.08
"182/701.1544mz/6.93min",1497027.4,1460637.8,1087938.4,1153093.6,1957517.1,1900185.2,1533417
"184/506.3252mz/6.95min",266413.05,350362.84,155509.84,330003.3,277212,255614.1,165722.48
"185/893.1921mz/6.97min",128869.295,130107.67,88092.734,101601.46,165680.98,164602.61,127630.92
"187/765.1669mz/6.97min",1307340.45,1274761,978850.2,1051485.1,1586332.4,1584863.8,1339919.9
"188/325.1844mz/7.02min",558737.155,681455.2,559043.25,277759.88,519320.16,758548.06,558431.06
"189/782.157mz/6.99min",1189042.3,1539943.1,1502992.6,1321836.4,1031228.7,906296.9,1056248.2
"190/637.1419mz/7.01min",407481,378073.94,303270.38,297694.16,512106.8,464603.88,436888.06
"191/654.1321mz/7.01min",368681.95,494623.3,417368.72,394387.34,342976.56,244726.5,322560.5
"193/271.2279mz/7.02min",98060.25,107667.586,64508.71,98072.875,98047.625,118706.45,58428.78
"195/974.1944mz/7.03min",89398.91,107611.22,105920.06,79763.15,66907.93,38788.223,99034.67
"196/297.2436mz/7.05min",43361.545,56548.3,32786.95,42907.766,43815.324,56909.25,28557.66
"198/846.1693mz/7.05min",953180.23,1345833.6,1181344.4,1034757.06,832089.56,820457.4,871603.4
"199/829.1793mz/7.05min",834534.42,560772.94,697226.44,516600.7,1104876.9,1120006.6,971842.4
"200/1131.5713mz/7.07min",264238.89,391379.3,227956.94,306260.06,271480.9,256996.88,140961.88
"201/565.2823mz/7.07min",3357780.85,4275468.5,3070236.8,3672834.5,3446379.2,3269182.5,2443143.5
"202/628.2779mz/7.07min",396612.5,541845.3,399700.44,474629.47,393524.56,392599.94,308481.75
"203/750.5293mz/7.1min",1034148.75,6408.728,1015836.5,32043.64,8467589,1052461,10076160
"204/701.1544mz/7.09min",747470.2,633211.5,594818.6,503871.22,1046915.4,966945.1,861728.9
"205/893.1918mz/7.11min",473069.34,406572.78,359201.22,329077,598281.6,597606.7,539565.9
"206/718.1445mz/7.11min",831511.405,1018797.2,944577.1,920326.56,742696.25,607078.44,686963.2
"207/910.1819mz/7.11min",820053.75,1033536.75,970170.44,921434.94,718672.56,588123.6,620478.6
"208/782.157mz/7.14min",1047471.4,1433329.9,1154045.8,1226037.1,940897,762454.94,821843.5
"209/765.1668mz/7.15min",994739.5,842092.8,658899.6,569113.25,1431138.1,1310825.6,1147386.2
"210/974.1942mz/7.15min",487806.865,637664.1,544151.2,601519.94,431462.53,340405.53,383093.88
"211/957.2041mz/7.16min",317329.65,243276.08,227653.95,191187.2,464853.62,454653.53,391383.22
"212/325.1844mz/7.23min",369015.64,771818.06,375933.88,331451.84,241712.52,393951.2,362097.4
"213/716.524mz/7.22min",14305715.44,39895.144,456784.88,199475.72,40722876,28154646,32880728
"214/829.1793mz/7.22min",988441.45,712441.4,810228.7,601849.06,1376848.2,1251562.8,1166654.2
"215/846.1694mz/7.2min",939228.03,1189718.9,1027176,1102724.8,851280.06,666429.6,676900.7
"216/1021.2165mz/7.2min",177780.037,94627.56,126281.734,104691.37,272887.47,240971.6,229278.34
"218/421.2264mz/7.22min",1476420.35,1746980.5,1348720.8,1459535.8,1652126.1,1493304.9,1403334.5
"219/717.5272mz/7.24min",6222341.375,1176.617,235552.75,5883.085,17773494,12209130,13999806
"220/271.2279mz/7.23min",56821.085,110824.055,19309.414,44293.64,69348.53,73908.44,33448.957
"221/750.5292mz/7.2min",787644.075,11135.7454,5020343.5,55678.727,1927369.6,489956.25,1085331.9
"222/910.182mz/7.25min",623483.32,812440.2,670823.94,695453.3,576142.7,179547.05,410609.12
"224/893.1918mz/7.28min",1045966,959961.4,949905.25,798476.25,1264569.8,1235771.9,1131970.6
"227/974.1942mz/7.3min",295313.96,526122.8,403348.22,248745.39,218478.17,268847.12,321780.8
"229/134.8947mz/7.3min",581396.55,973941.6,532409.44,694814.2,572720.2,333015.47,590072.9
"230/116.9286mz/7.3min",652649.25,631202.44,839607.25,425759.62,499565.2,674096.06,728544.7
"231/327.127mz/7.3min",414320.47,684717.25,428707.94,579598.2,399933,280441.53,333891.16
"234/957.2041mz/7.32min",989102.7,986759.4,949056.3,790959.75,1061782.9,994073,991446
"235/701.1543mz/7.33min",173481.2,192599.95,165374.25,139067.83,193124.94,172396.28,174566.12
"236/1021.2165mz/7.33min",721322.725,734050.25,698108.94,589618.4,828780.94,846993.1,708595.2
"237/245.8947mz/7.35min",2503.7958,12518.979,2503.7958,147436.88,2503.7958,2503.7958,2503.7958
"238/195.8109mz/7.36min",42582.784,42582.784,42582.784,212913.92,42582.784,42582.784,42582.784
"239/197.8079mz/7.36min",55709.14,55709.14,55709.14,278545.7,55709.14,55709.14,55709.14
"240/243.8996mz/7.32min",26357.863,123518.81,42743.773,358852.88,4405.948,881.1896,9971.953
"241/765.1668mz/7.37min",318239.64,308910.38,327568.9,251471.95,402596.3,364919.3,303494.22
"242/782.1571mz/7.37min",104121.985,182637.08,117734.69,146332.42,90509.28,60320.63,74240.56
"243/846.1694mz/7.4min",146932.143,240288.77,171629.27,204489.31,121380.36,99003.47,122235.016
"244/829.1793mz/7.4min",365464.63,359697.16,332707.75,217189.1,460460.1,516707.44,371232.1
"245/694.4669mz/7.42min",11951087,17336508,8635586,15176437,11649691,12252483,7755415
"246/447.3075mz/7.46min",131823.453,169792.36,111865.5,174851.34,124374.266,139272.64,111149.055
"247/910.182mz/7.43min",172281.33,245553.72,194867.58,191937.72,152624.94,123843.36,108123.055
"248/430.3172mz/7.44min",265582.025,272284.72,269242.6,276016.75,194768.66,261921.45,233764.14
"249/974.194mz/7.43min",103233.135,148274.03,147046.16,117270.92,88512.29,89195.35,88194.625
"250/711.457mz/7.42min",797830.2,2306088.8,744679.8,1987839,850980.6,701116.2,625260.4
"251/893.1917mz/7.44min",460170.71,486137.25,463943.2,394202.44,556764.2,447407.94,456398.22
"252/957.204mz/7.46min",501024.11,577123.25,509992.34,492055.88,576892.25,479666.22,482193.97
"254/1021.2165mz/7.48min",440291.46,537783.75,440395.12,415731,501892.44,440187.8,425875.25
"255/430.3172mz/7.5min",321484.6,476947.94,239915.45,319809.8,323159.4,348568.34,175791.03
"256/447.3075mz/7.53min",302218.175,421367.6,214176.55,308145.88,296290.47,368815.66,176432.45
"257/161.9136mz/7.56min",392634.1,571088.25,455602.4,358223.8,321344.75,276173.12,427044.4
"258/134.8947mz/7.56min",2035160.1,2355043.2,2061461.2,1914831.9,2256191,1879615,2008859
"260/501.3546mz/7.59min",2285395.15,2889139.2,1496521.6,2334772.8,2236017.5,2752015.5,1607138
"261/484.3644mz/7.6min",880792.55,1209560.2,590624.4,917544.1,844041,941690.25,586160.75
"262/299.2592mz/7.6min",395528.875,517657.3,297108.78,436065.16,369512.75,421545,239503.39
"266/742.5396mz/7.7min",274438.965,15809.754,15809.754,79048.77,1325511.5,5054564.5,469829.16
"267/122.9758mz/7.68min",102155.455,129808.84,86957.734,93194.33,111116.58,123662.72,87786.11
"268/455.2106mz/7.68min",731135.15,1022370.25,546547.8,801581.94,770531.2,691739.1,483765.5
"269/186.9706mz/7.68min",252377.74,264990.75,228435.4,247537.62,264018.72,257217.86,235979.97
"270/116.9286mz/7.68min",2858841.8,3511324,2529460.8,2993136.2,2935219.8,2782463.8,1699510
"271/716.524mz/7.67min",3994357.1,22370.73,11403737,111853.65,5556334.5,2754440.2,5234274
